City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kavieng,PG,-2.5744,150.7967,81.32,78,96,11.23,light rain
81,Inhambane,MZ,-23.865,35.3833,68.63,78,0,8.79,clear sky
82,Port-Gentil,GA,-0.7193,8.7815,73.36,94,20,5.75,few clouds
83,Zhigansk,RU,66.7697,123.3711,49.1,73,48,22.79,scattered clouds
84,Kahului,US,20.8947,-156.47,89.62,54,20,23.02,few clouds
85,Kodiak,US,57.79,-152.4072,56.71,88,100,8.05,mist
86,Souillac,MU,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
87,Porto Santo,PT,33.072,-16.3415,70.18,73,20,5.75,few clouds
88,San Quintin,MX,30.4833,-115.95,77.49,68,99,12.77,overcast clouds
89,Arman,RU,59.7,150.1667,59.02,87,98,1.39,overcast clouds
90,Mount Isa,AU,-20.7333,139.5,62.37,36,91,6.91,overcast clouds
91,Olinda,BR,-8.0089,-34.8553,78.53,73,0,5.75,clear sky
92,Faanui,PF,-16.4833,-151.75,78.24,75,10,14.5,light rain
93,Hilo,US,19.7297,-155.09,92.28,78,75,9.22,broken clouds
94,Najran,SA,17.4924,44.1277,84.85,38,94,12.26,overcast clouds
95,Ancud,CL,-41.8697,-73.8203,48.79,92,100,16.08,moderate rain
96,Bredasdorp,ZA,-34.5322,20.0403,54.36,81,100,6.02,overcast clouds
97,Katsuura,JP,35.1333,140.3,81.7,83,53,19.42,broken clouds
98,Aksarka,RU,66.5606,67.7975,56.08,89,100,14.12,overcast clouds
99,Semporna,MY,4.4818,118.6112,79.14,84,52,0.92,broken clouds
100,Sioux Lookout,CA,50.1001,-91.917,71.67,40,20,3.44,few clouds
101,Lebu,CL,-37.6167,-73.65,50.18,90,100,2.8,moderate rain
102,Hobart,AU,-42.8794,147.3294,42.26,100,40,4.61,scattered clouds
103,Vao,NC,-22.6667,167.4833,68.09,59,13,18.05,few clouds
104,Bar Harbor,US,44.3876,-68.2039,72.34,75,75,9.22,broken clouds
105,Broken Hill,AU,-31.95,141.4333,46.38,51,15,12.95,few clouds
106,Yulara,AU,-25.2406,130.9889,44.28,54,0,7.74,clear sky
107,Saint-Philippe,RE,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
108,Kieta,PG,-6.2167,155.6333,81.19,75,100,1.57,overcast clouds
109,Brae,GB,60.3964,-1.353,53.26,91,100,4.88,overcast clouds
110,Kapaa,US,22.0752,-159.319,84.18,73,20,16.11,few clouds
111,Muros,ES,42.7762,-9.0603,67.08,89,35,0.85,scattered clouds
112,Vangaindrano,MG,-23.35,47.6,64.87,88,81,4.32,light rain
113,Coahuayana,MX,18.7333,-103.6833,85.71,72,97,6.13,overcast clouds
114,Palu,ID,-0.8917,119.8707,76.33,93,97,4.07,overcast clouds
115,Mahebourg,MU,-20.4081,57.7,68.29,77,75,14.97,broken clouds
116,Dom Pedrito,BR,-30.9828,-54.6731,52.11,91,0,5.44,clear sky
117,Camacha,PT,33.0833,-16.3333,67.42,73,20,5.75,few clouds
118,Riyadh,SA,24.6877,46.7219,100.54,17,10,13.2,clear sky
119,Nedryhayliv,UA,50.834,33.8763,70.41,75,99,14.34,overcast clouds
120,Ranong,TH,9.9658,98.6348,78.22,88,96,9.04,overcast clouds
121,Cayenne,GF,4.9333,-52.3333,84.24,1,20,5.75,few clouds
122,Maldonado,UY,-34.6667,-54.9167,58.39,84,0,6.15,clear sky
